date,pace,distance,heart_rate,calories
2014-01-01,7.07,9.0,121,630.8
2014-01-02,8.09,12.4,102,695.1
2014-01-03,5.69,13.1,169,1194.9
2014-01-04,6.37,11.7,151,986.9
2014-01-05,8.24,8.7,119,487.3
2014-01-06,7.71,7.2,131,504.4
2014-01-07,4.94,10.9,183,1217.3
2014-01-08,8.57,11.3,117,631.1
2014-01-09,6.02,9.6,151,806.3
2014-01-10,8.90,11.5,94,641.8
2014-01-11,7.72,9.1,120,634.9
2014-01-12,3.14,9.9,189,1247.8
2014-01-13,4.71,10.9,183,1216.8
2014-01-14,6.87,8.2,148,630.8
2014-01-15,8.11,5.6,108,314.2
2014-01-16,6.92,6.5,142,502.7
2014-01-17,6.89,11.0,141,849.7
2014-01-18,9.88,7.3,99,410.8
2014-01-19,7.23,12.1,138,846.1
2014-01-20,8.08,11.6,111,648.1
2014-01-21,4.37,11.5,180,1282.6
2014-01-22,6.03,11.0,159,920.0
2014-01-23,9.16,9.4,113,527.1
2014-01-24,5.13,8.6,175,840.6
2014-01-25,7.89,7.8,129,544.5
2014-01-26,7.45,10.5,139,736.3
2014-01-27,7.87,8.9,132,623.0
2014-01-28,3.55,8.1,186,1026.6
2014-01-29,7.71,9.1,128,633.9
2014-01-30,8.43,8.7,97,486.7
2014-01-31,9.99,9.0,110,502.9
2014-02-01,9.35,7.5,101,422.4
2014-02-02,9.90,11.8,116,662.6
2014-02-03,6.51,9.9,143,758.8
2014-02-04,8.28,9.6,117,537.0
2014-02-05,4.06,11.6,180,1293.9
2014-02-06,5.82,13.6,161,1236.6
2014-02-07,6.08,11.2,151,940.7
2014-02-08,5.37,12.0,170,1180.8
2014-02-09,8.22,8.8,80,495.1
2014-02-10,8.17,9.1,99,510.5
2014-02-11,6.11,9.9,155,835.5
2014-02-12,8.86,10.3,87,574.8
2014-02-13,4.10,12.2,182,1362.0
2014-02-14,8.50,9.3,95,522.9
2014-02-15,7.24,11.9,122,834.7
2014-02-16,5.58,6.6,160,602.0
2014-02-17,6.28,12.2,155,1020.8
2014-02-18,9.87,7.0,82,389.3
2014-02-19,5.39,10.4,172,1021.7
2014-02-20,3.85,11.7,182,1469.2
2014-02-21,7.33,7.7,130,539.2
2014-02-22,8.84,9.1,116,510.1
2014-02-23,9.01,11.8,86,660.1
2014-02-24,4.02,11.6,180,1302.6
2014-02-25,5.80,6.8,166,618.8
2014-02-26,9.65,7.8,114,439.0
2014-02-27,5.37,7.9,172,774.3
2014-02-28,7.25,7.7,125,540.6
2014-03-01,5.37,10.9,176,1067.0
2014-03-02,9.18,13.0,114,730.0
2014-03-03,5.06,9.9,177,966.5
2014-03-04,8.11,10.5,92,588.9
2014-03-05,8.42,11.1,95,622.4
2014-03-06,8.98,9.9,112,553.0
2014-03-07,8.80,11.5,113,645.4
2014-03-08,9.17,11.9,82,667.9
2014-03-09,5.87,9.7,163,886.8
2014-03-10,6.55,7.3,143,564.0
2014-03-11,4.33,13.2,186,1479.7
2014-03-12,4.17,10.5,184,1178.9
2014-03-13,9.70,8.2,97,457.0
2014-03-14,8.41,11.2,99,625.9
2014-03-15,7.88,9.9,126,691.8
2014-03-16,8.64,8.8,112,492.1
2014-03-17,8.08,12.0,108,670.5
2014-03-18,7.92,8.9,124,622.0
2014-03-19,8.17,10.9,118,610.7
2014-03-20,9.14,10.3,92,577.8
2014-03-21,9.03,12.7,95,713.6
2014-03-22,9.66,8.9,105,498.0
2014-03-23,4.71,9.7,184,1086.1
2014-03-24,6.49,11.8,154,992.0
2014-03-25,7.98,12.4,137,870.7
2014-03-26,5.09,10.8,171,1055.5
2014-03-27,6.18,7.1,158,596.3
2014-03-28,3.70,10.1,184,1277.0
2014-03-29,9.43,11.3,100,632.2
2014-03-30,9.71,10.6,84,592.3
2014-03-31,5.08,7.2,171,708.9
2014-04-01,9.68,11.1,118,623.4
2014-04-02,8.89,10.0,113,558.6
2014-04-03,8.31,10.9,94,610.3
2014-04-04,7.74,9.8,131,684.5
2014-04-05,9.13,8.6,111,480.1
2014-04-06,7.29,11.5,132,801.8
2014-04-07,8.19,10.3,112,579.4
2014-04-08,5.64,11.0,169,1004.2
2014-04-09,6.59,9.8,145,754.9
2014-04-10,5.41,10.2,171,1000.8
2014-04-11,9.47,13.8,90,773.6
2014-04-12,7.48,7.5,139,524.6
2014-04-13,8.07,11.0,98,615.1
2014-04-14,6.49,8.5,152,712.5
2014-04-15,8.78,8.3,106,466.6
2014-04-16,7.14,9.2,137,644.8
2014-04-17,9.23,8.6,100,481.4
2014-04-18,7.48,7.9,122,554.8
2014-04-19,4.74,12.2,181,1368.8
2014-04-20,8.15,8.8,106,493.6
2014-04-21,5.95,9.3,167,847.6
2014-04-22,9.05,8.7,117,486.2
2014-04-23,5.98,10.2,166,931.8
2014-04-24,8.31,8.5,101,477.2
2014-04-25,8.91,8.8,98,490.1
2014-04-26,9.48,10.7,99,598.4
2014-04-27,8.23,10.5,88,586.0
2014-04-28,7.06,9.9,127,690.4
2014-04-29,9.61,7.1,92,399.6
