date,pace,distance,heart_rate,calories
2014-01-01,6.53,9.0,158,693.9
2014-01-02,6.52,12.4,150,955.8
2014-01-03,5.19,13.1,180,1286.8
2014-01-04,5.87,11.7,172,1069.1
2014-01-05,6.56,8.7,158,670.0
2014-01-06,6.36,7.2,163,605.3
2014-01-07,5.49,10.9,187,1065.2
2014-01-08,6.64,11.3,157,867.8
2014-01-09,5.52,9.6,172,873.4
2014-01-10,7.45,11.5,146,802.3
2014-01-11,6.86,9.1,158,698.4
2014-01-12,5.04,9.9,189,970.5
2014-01-13,5.43,10.9,186,1064.7
2014-01-14,5.87,8.2,171,745.4
2014-01-15,6.53,5.6,152,432.0
2014-01-16,6.42,6.5,168,548.4
2014-01-17,6.39,11.0,167,927.0
2014-01-18,7.94,7.3,148,513.5
2014-01-19,6.12,12.1,166,1015.3
2014-01-20,6.52,11.6,154,891.2
2014-01-21,5.34,11.5,185,1122.3
2014-01-22,5.53,11.0,176,996.6
2014-01-23,6.79,9.4,155,724.7
2014-01-24,5.13,8.6,183,840.6
2014-01-25,6.45,7.8,162,653.4
2014-01-26,6.22,10.5,167,883.6
2014-01-27,6.44,8.9,164,747.6
2014-01-28,5.14,8.1,188,798.5
2014-01-29,6.35,9.1,162,760.6
2014-01-30,7.21,8.7,147,608.4
2014-01-31,7.00,9.0,153,691.5
2014-02-01,7.67,7.5,149,528.0
2014-02-02,6.98,11.8,156,911.0
2014-02-03,6.01,9.9,168,827.8
2014-02-04,6.57,9.6,157,738.4
2014-02-05,5.26,11.6,185,1132.1
2014-02-06,5.82,13.6,177,1236.6
2014-02-07,5.58,11.2,172,1019.1
2014-02-08,5.37,12.0,181,1180.8
2014-02-09,7.11,8.8,140,618.9
2014-02-10,7.08,9.1,149,638.1
2014-02-11,5.61,9.9,174,905.2
2014-02-12,7.43,10.3,143,718.5
2014-02-13,5.28,12.2,186,1191.8
2014-02-14,7.25,9.3,147,653.6
2014-02-15,6.62,11.9,159,918.1
2014-02-16,5.58,6.6,176,602.0
2014-02-17,5.78,12.2,174,1105.9
2014-02-18,7.94,7.0,141,486.6
2014-02-19,5.39,10.4,182,1021.7
2014-02-20,5.21,11.7,186,1142.7
2014-02-21,6.16,7.7,163,647.1
2014-02-22,6.71,9.1,156,701.4
2014-02-23,7.51,11.8,143,825.2
2014-02-24,5.25,11.6,185,1139.8
2014-02-25,5.80,6.8,179,618.8
2014-02-26,6.91,7.8,155,603.6
2014-02-27,5.37,7.9,182,774.3
2014-02-28,6.13,7.7,160,648.7
2014-03-01,5.37,10.9,183,1067.0
2014-03-02,6.79,13.0,155,1003.8
2014-03-03,5.06,9.9,184,966.5
2014-03-04,7.06,10.5,145,736.2
2014-03-05,7.21,11.1,146,778.0
2014-03-06,6.74,9.9,154,760.4
2014-03-07,6.70,11.5,155,887.4
2014-03-08,7.58,11.9,141,834.9
2014-03-09,5.87,9.7,178,886.8
2014-03-10,6.05,7.3,169,615.3
2014-03-11,5.33,13.2,188,1294.7
2014-03-12,5.29,10.5,187,1031.6
2014-03-13,7.85,8.2,147,571.3
2014-03-14,7.20,11.2,148,782.4
2014-03-15,6.44,9.9,161,830.1
2014-03-16,6.66,8.8,154,676.6
2014-03-17,6.52,12.0,152,921.9
2014-03-18,6.46,8.9,160,746.4
2014-03-19,6.54,10.9,157,839.7
2014-03-20,7.57,10.3,145,722.2
2014-03-21,7.51,12.7,146,892.0
2014-03-22,6.92,8.9,151,684.8
2014-03-23,5.43,9.7,187,950.4
2014-03-24,5.99,11.8,173,1074.7
2014-03-25,6.49,12.4,166,1044.9
2014-03-26,5.09,10.8,181,1055.5
2014-03-27,5.68,7.1,175,646.0
2014-03-28,5.18,10.1,187,993.2
2014-03-29,7.71,11.3,149,790.3
2014-03-30,7.86,10.6,141,740.4
2014-03-31,5.08,7.2,181,708.9
2014-04-01,6.92,11.1,157,857.2
2014-04-02,6.72,10.0,155,768.0
2014-04-03,7.16,10.9,146,762.8
2014-04-04,6.37,9.8,163,821.4
2014-04-05,6.78,8.6,154,660.2
2014-04-06,6.14,11.5,163,962.2
2014-04-07,6.55,10.3,154,796.6
2014-04-08,5.14,11.0,180,1081.4
2014-04-09,6.09,9.8,169,823.6
2014-04-10,5.41,10.2,181,1000.8
2014-04-11,7.74,13.8,144,967.0
2014-04-12,6.24,7.5,167,629.5
2014-04-13,7.03,11.0,148,768.8
2014-04-14,5.99,8.5,172,771.8
2014-04-15,6.70,8.3,152,641.5
2014-04-16,6.07,9.2,166,773.8
2014-04-17,7.61,8.6,149,601.7
2014-04-18,6.74,7.9,159,610.3
2014-04-19,5.43,12.2,186,1197.7
2014-04-20,6.54,8.8,151,678.7
2014-04-21,5.95,9.3,179,847.6
2014-04-22,6.76,8.7,156,668.6
2014-04-23,5.98,10.2,179,931.8
2014-04-24,7.16,8.5,149,596.5
2014-04-25,7.45,8.8,148,612.6
2014-04-26,7.74,10.7,148,748.0
2014-04-27,7.11,10.5,143,732.5
2014-04-28,6.03,9.9,161,828.5
2014-04-29,7.80,7.1,145,499.5
2014-04-30,6.06,11.6,160,971.2
2014-05-01,7.33,7.5,144,522.1
2014-05-02,6.07,12.8,167,1079.3
2014-05-03,6.72,8.0,157,618.3
2014-05-04,7.00,8.2,157,631.0
2014-05-05,5.09,10.2,181,995.5
2014-05-06,6.58,7.6,154,584.8
2014-05-07,6.92,11.0,156,847.4
2014-05-08,6.97,8.5,150,654.1
2014-05-09,5.06,8.9,181,869.1
2014-05-10,5.84,11.8,174,1069.5
2014-05-11,5.46,11.2,182,1093.9
2014-05-12,5.74,12.3,171,1122.3
2014-05-13,6.59,12.6,155,968.2
2014-05-14,5.68,10.3,176,933.4
2014-05-15,7.34,10.9,140,761.4
2014-05-16,6.99,13.2,158,1016.5
2014-05-17,7.32,8.6,148,603.5
2014-05-18,6.49,10.5,168,878.8
2014-05-19,5.47,12.5,187,1225.6
2014-05-20,6.45,10.8,169,904.7
2014-05-21,5.82,9.4,174,857.5
2014-05-22,6.83,11.9,154,915.5
2014-05-23,6.91,8.9,152,681.7
2014-05-24,7.67,8.6,149,599.8
2014-05-25,5.25,11.8,185,1155.7
2014-05-26,6.41,9.4,161,790.4
2014-05-27,6.57,9.5,158,732.4
2014-05-28,5.11,8.9,188,876.9
2014-05-29,5.49,10.9,187,1071.5
2014-05-30,6.12,9.9,165,827.6
2014-05-31,6.34,8.8,160,742.2
2014-06-01,6.78,9.7,150,744.8
2014-06-02,5.51,8.0,174,724.6
2014-06-03,5.62,10.5,171,952.0
2014-06-04,6.34,10.3,169,868.3
2014-06-05,5.02,7.8,188,759.6
2014-06-06,6.65,9.5,156,729.6
2014-06-07,5.27,7.5,180,735.9
2014-06-08,6.30,13.1,161,1100.7
2014-06-09,6.24,10.6,165,893.0
2014-06-10,6.35,8.7,166,728.0
2014-06-11,5.55,11.2,176,1017.3
2014-06-12,5.67,11.2,170,1022.3
2014-06-13,6.21,10.7,160,897.0
2014-06-14,5.51,8.8,176,797.2
2014-06-15,6.25,13.3,161,1115.4
2014-06-16,5.10,8.0,185,784.4
2014-06-17,6.03,10.9,169,915.8
2014-06-18,6.16,9.2,164,775.2
2014-06-19,5.79,9.8,179,891.1
2014-06-20,6.05,10.1,168,846.9
2014-06-21,5.78,9.7,174,884.9
2014-06-22,5.93,10.5,175,951.9
2014-06-23,6.60,12.1,156,934.8
2014-06-24,6.40,10.9,162,916.6
2014-06-25,5.82,7.6,170,695.7
2014-06-26,6.47,9.7,166,818.5
2014-06-27,6.93,10.8,159,834.5
